32,"[0.03208561 0.01661598 0.10916516 0.02734428 0.0255644  0.03984369
 0.0239149  0.03976358 0.05889098 0.0112003 ]"
82,"[0.02368049 0.15016258 0.11396564 0.03291583 0.05638939 0.05327849
 0.03428963 0.05516959 0.11954485 0.03822156]"
132,"[0.00490037 0.0254329  0.         0.13737547 0.0025698  0.26168975
 0.00861754 0.01042561 0.0115058  0.02574688]"
182,"[0.00656911 0.02811291 0.07334012 0.00665628 0.01259518 0.02587744
 0.00449433 0.00102956 0.07768913 0.02287191]"
232,"[0.00273331 0.00881935 0.01868792 0.00896403 0.00122831 0.02004676
 0.01627247 0.03127191 0.02116221 0.00594443]"
282,"[0.00852805 0.03144037 0.07741652 0.02745958 0.00168464 0.06978004
 0.00838071 0.04336599 0.03729745 0.04513678]"
332,"[0.00051237 0.00569221 0.02072163 0.00662827 0.00325649 0.00572293
 0.01597963 0.00534953 0.01079292 0.00201442]"
382,"[0.02928751 0.46725917 0.0322958  0.07630435 0.2471939  0.03274773
 0.00689264 0.04067594 0.14527074 0.03570161]"
432,"[0.         0.06865223 0.00780471 0.06307186 0.02317034 0.23859933
 0.         0.08498434 0.03970771 0.00514022]"
482,"[0.         0.03479306 0.09813138 0.01039007 0.00101311 0.03322263
 0.00405233 0.01815518 0.03013188 0.01854399]"
532,"[0.00568122 0.06911544 0.0488875  0.01455902 0.         0.03275548
 0.02769359 0.00221787 0.01941535 0.00594564]"
582,"[0.         0.         0.06538142 0.00110076 0.         0.03678986
 0.         0.02703927 0.         0.00337745]"
632,"[0.03169039 0.0169902  0.00578849 0.         0.03217612 0.00877526
 0.01584345 0.13036163 0.02759791 0.05465434]"
682,"[0.02991921 0.04892378 0.24061495 0.01142622 0.03883249 0.05065016
 0.00650744 0.00409754 0.03484243 0.02222241]"
732,"[0.01297198 0.02799604 0.13685384 0.09405997 0.         0.08159002
 0.04400986 0.00846928 0.0229589  0.03672619]"
782,"[0.00385989 0.04002504 0.00666107 0.05327111 0.         0.00104219
 0.         0.00976187 0.034802   0.00209541]"
832,"[0.01526511 0.03549048 0.01920738 0.03670771 0.         0.03394559
 0.00839089 0.00067742 0.00834731 0.01798201]"
882,"[0.06921957 0.         0.07576643 0.00076897 0.01278846 0.04858216
 0.01288579 0.00351918 0.06147924 0.00125121]"
932,"[0.         0.02270745 0.09366152 0.1092322  0.         0.29232016
 0.05923962 0.14105777 0.15704651 0.        ]"
982,"[0.0049304  0.03010731 0.02650541 0.01250553 0.00540388 0.0153073
 0.00040969 0.00632098 0.04639264 0.00193431]"
1032,"[0.         0.02101393 0.04816176 0.01092084 0.         0.0224446
 0.00040727 0.00397693 0.01974349 0.00173248]"
1082,"[0.         0.00172872 0.07060434 0.         0.         0.0183147
 0.         0.00235038 0.02000228 0.00290035]"
1132,"[0.01611291 0.5286434  0.04418806 0.06411238 0.18504733 0.01834367
 0.         0.03982269 0.13959697 0.05101305]"
1182,"[0.         0.06538336 0.07067746 0.01318745 0.04644692 0.04001897
 0.         0.06406181 0.07235881 0.01068738]"
1232,"[0.11230677 0.08511811 0.01581659 0.0479201  0.12885937 0.0429144
 0.03923897 0.02610092 0.02842404 0.035397  ]"
1282,"[0.01361381 0.04999589 0.00991149 0.0176298  0.19055712 0.00866325
 0.00275838 0.00720045 0.01443739 0.00525372]"
1332,"[0.01261395 0.23955746 0.09872059 0.02341584 0.06893568 0.03351843
 0.03552465 0.02421811 0.04284339 0.10880902]"
1382,"[0.         0.01148758 0.2247245  0.         0.00503621 0.00129643
 0.00868628 0.         0.00213867 0.00579109]"
1432,"[0.         0.02367808 0.23832162 0.         0.00084516 0.04199903
 0.00296254 0.02209986 0.02480222 0.        ]"
1482,"[0.0573774  0.25903314 0.         0.02053287 0.1849739  0.
 0.01012927 0.08824529 0.08924014 0.21787992]"
1532,"[0.         0.18365343 0.04715542 0.06772947 0.05496539 0.08986166
 0.00309107 0.06848276 0.11170983 0.05452766]"
1582,"[0.07128198 0.03425293 0.0007589  0.01979645 0.15345135 0.01729303
 0.00542632 0.00819613 0.03826367 0.01652026]"
1632,"[0.11703313 0.11995067 0.02616251 0.20103832 0.21117762 0.00553933
 0.00282788 0.03028117 0.1735237  0.01912849]"
1682,"[0.03313548 0.07862265 0.07425623 0.01773633 0.01769854 0.00066811
 0.         0.00389    0.01691498 0.04105999]"
1732,"[0.0160024  0.081608   0.20322816 0.         0.01216771 0.02125844
 0.         0.07684537 0.04533194 0.00098056]"
1782,"[0.         0.         0.         0.         0.         0.
 0.         0.9875132  0.01843982 0.        ]"
1832,"[0.00817428 0.080307   0.01801016 0.01765205 0.07461444 0.05915105
 0.         0.09010071 0.12336999 0.00795352]"
1882,"[0.         0.24363624 0.         0.         0.         0.
 0.8959248  0.03089354 0.42405835 0.06083453]"
1932,"[0.01324139 0.00807881 0.09838542 0.         0.         0.00305565
 0.00333388 0.02065428 0.02500219 0.05345923]"
1982,"[0.0032785  0.00562482 0.00836004 0.04893011 0.00804587 0.00982122
 0.0025977  0.00768678 0.00964447 0.00408106]"
2032,"[9.7195058e-05 0.0000000e+00 3.7975740e-02 0.0000000e+00 0.0000000e+00
 3.7642673e-03 0.0000000e+00 0.0000000e+00 1.1207417e-02 0.0000000e+00]"
2082,"[0.         0.06320285 0.         0.0105239  0.02139481 0.
 0.         0.01395263 0.11027794 0.        ]"
2132,"[0.         0.01037564 0.01337979 0.00940238 0.         0.00843387
 0.0336678  0.00321178 0.00424601 0.        ]"
2182,"[0.04163446 0.527425   0.         0.02768838 0.2494694  0.00827065
 0.         0.00941263 0.08355971 0.02154661]"
